"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration"
348,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","5",1,8,0,-1,2760,"ci","1",21,5.484
349,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,9,0,-1,2920,"ci","1",15,5.181
350,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","7,8,6",3,2,0,-5,2920,"ci","1",9,7.272
351,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,6,0,-4,2960,"ci","1",3,5.492
352,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,2920,"ci","1",28,7.242
353,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,2880,"ci","1",22,3.573
354,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,2,0,-8,2760,"ci","1",16,2.787
355,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,4,0,-6,2720,"ci","1",10,2.569
356,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,7,0,-3,2800,"ci","1",4,2.672
357,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,3,0,-7,2720,"ci","1",29,3.115
358,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2720,"ci","1",23,2.961
359,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,7,0,-3,2800,"ci","1",17,3.023
360,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,5,0,-5,2800,"ci","1",11,3.718
361,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,3,0,-7,2720,"ci","1",5,2.625
362,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,6,0,-4,2760,"ci","1",30,3.006
363,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","3",1,6,0,-3,2840,"ci","1",24,4.177
364,"5d9f8573ce3daf0015e3e400","5e3ef0208d66d9144c07c333","null",0,8,0,-2,2960,"ci","1",18,2.85
