"","prolific_pid","modulo","id","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","positives","negatives","p_trial_id","block_id","block","trial_pay","selected_positives","alpha","payoff_trial","payoff_lower","payoff_upper","expected_over_optimal"
"1556","5d423b7706811e001ada5b08",48,1959,"5e3f6469fce14d1c41837c87","9,5,6,4,3,7",4,2,2,2,-33200,"ci","1",2,18.594,6,4,22,22,2,-3880,6,99,-3880,-8040,200,0.504793107632569
"1557","5defe76ec33cea000b6cb8e1",58,1960,"5e3f6466f09a9f1c6057268b","null",0,2,0,8,-4520,"ci","1",16,3.63,8,2,57,27,3,-120,0,99,-120,-4120,200,0.925711640823883
"1558","5e39b4e8eed08202335f88bb",11,1962,"5e3f6464ce52251bf065935e","9,4",2,5,0,3,-2720,"ci","10",20,10.21,5,5,60,30,3,80,2,9,80,-1000,200,0.8992506244796
"1559","58d9a79c33fef3000118abdf",50,1963,"5e3f67178dd3cf1ca62c14a0","null",0,6,0,4,-720,"ci","1",8,6.073,4,6,50,20,3,40,0,99,40,-11960,200,0.986760957158128
"1560","5aeacc45d9f2be00019341ae",64,1964,"5e3f66afd960941c8cfc0d5e","9,10,5,3,6",4,5,1,0,-1040,"ci","5",24,10.29,4,6,42,12,2,-200,5,19,-200,-2360,200,0.843420538852011
"1561","5de301515253b03390043d12",80,1965,"5e3f6473efb86e1c939f60b9","9",1,5,0,4,-7120,"ci","10",11,7.72,5,5,53,23,3,40,1,9,40,-1000,200,0.865945045795171
"1562","5dd33261fce6063503a61fd2",9,1966,"5e3f64584425131c4df331b7","5,10",2,8,0,0,-240,"ci","5",21,13.18,2,8,83,23,4,200,2,19,200,-3080,200,0.999695214873514
"1563","5dbee94de0a6e839b5a23898",84,1967,"5e3f647819a5ea1c3bf2e5fa","5,8",2,6,0,2,3880,"ci","1",3,5.365,4,6,70,10,3,120,2,99,120,-11960,200,0.993339363539183
"1564","5e15a5f7082675b7e19b2bbc",30,1968,"5e3f6463280cae1c6f6f6c7b","6,2,7,9",2,4,2,2,-82120,"ci","10",1,8.754,4,6,60,30,3,-280,4,9,-280,-1160,200,0.646583394562821
"1565","5defe76ec33cea000b6cb8e1",58,1969,"5e3f6466f09a9f1c6057268b","9",1,5,0,4,-4480,"ci","1",12,4.721,5,5,58,28,3,40,1,99,40,-10000,200,0.984217233604549
"1566","5c44b3fe1bbffd0001014286",35,1970,"5e3f647ec10d051c176daec4","6,10",1,3,1,5,-10960,"ci","1",28,9.544,6,4,67,7,3,-2000,2,99,-2000,-8040,200,0.732920762043441
"1567","58d9a79c33fef3000118abdf",50,1971,"5e3f67178dd3cf1ca62c14a0","8",1,3,0,6,-760,"ci","1",27,5.416,7,3,51,21,3,-40,1,99,-40,-6080,200,0.961630313644324
"1568","5de301515253b03390043d12",80,1972,"5e3f6473efb86e1c939f60b9","10,8",2,3,0,5,-7120,"ci","10",29,6.402,7,3,54,24,3,0,2,9,0,-680,200,0.771850170261067
"1569","5dbee94de0a6e839b5a23898",84,1973,"5e3f647819a5ea1c3bf2e5fa","6",1,5,0,4,3920,"ci","1",25,7.239,5,5,71,11,3,40,1,99,40,-10000,200,0.984217233604549
"1570","58d9a79c33fef3000118abdf",50,1974,"5e3f67178dd3cf1ca62c14a0","null",0,9,0,1,-600,"ci","1",15,3.979,1,9,52,22,3,160,0,99,160,-17840,200,0.997727398702954
