"prolific_pid","condition","trial","p_trial_id","alpha","block_id","block","beta","f1"
"5c994ca30225a000167bd288","ci",11,73,"0.1",13,3,1,0.888888888888889
"5c994ca30225a000167bd288","ci",19,74,"0.1",14,3,1,0
"5dd33261fce6063503a61fd2","ci",8,25,"0.1",25,1,1,0.4
"5c994ca30225a000167bd288","ci",27,75,"0.1",15,3,1,0.727272727272727
"5d1e47055538e6001a842e3b","ci",28,6,"0.1",6,1,1,0.714285714285714
"5d1d5027558790001a6d4dea","ci",16,49,"0.1",19,2,1,0.933333333333333
"5c994ca30225a000167bd288","ci",4,76,"0.1",16,3,1,0.5
"5dd33261fce6063503a61fd2","ci",17,26,"0.1",26,1,1,0.5
"5c66e2f32eacb200019ee394","ci",2,23,"0.1",23,1,1,0.923076923076923
"5c994ca30225a000167bd288","ci",12,77,"0.1",17,3,1,0.888888888888889
"5c994ca30225a000167bd288","ci",20,78,"0.1",18,3,1,0.333333333333333
"5dbee94de0a6e839b5a23898","ci",22,1,"0.1",1,1,1,0.5
"5d1d5027558790001a6d4dea","ci",25,50,"0.1",20,2,1,0.833333333333333
"5c66e2f32eacb200019ee394","ci",25,24,"0.1",24,1,1,0.727272727272727
"5c994ca30225a000167bd288","ci",28,79,"0.1",19,3,1,0
"5dd33261fce6063503a61fd2","ci",26,27,"0.1",27,1,1,0
"5d1d5027558790001a6d4dea","ci",3,51,"0.1",21,2,1,0.888888888888889
"5c994ca30225a000167bd288","ci",5,80,"0.1",20,3,1,0.444444444444444
"5c66e2f32eacb200019ee394","ci",17,25,"0.1",25,1,1,0.666666666666667
"5dd33261fce6063503a61fd2","ci",4,28,"0.1",28,1,1,0
"5d1d5027558790001a6d4dea","ci",12,52,"0.1",22,2,1,0.8
"5c994ca30225a000167bd288","ci",13,81,"0.1",21,3,1,0.5
"5c994ca30225a000167bd288","ci",21,82,"0.1",22,3,1,0.8
"5c66e2f32eacb200019ee394","ci",9,26,"0.1",26,1,1,0.933333333333333
"5c994ca30225a000167bd288","ci",29,83,"0.1",23,3,1,0.25
"5d1d5027558790001a6d4dea","ci",21,53,"0.1",23,2,1,1
"5dd33261fce6063503a61fd2","ci",13,29,"0.1",29,1,1,0.2
"5c994ca30225a000167bd288","ci",6,84,"0.1",24,3,1,1
"5dbee94de0a6e839b5a23898","ci",13,2,"0.1",2,1,1,0.615384615384615
"5c66e2f32eacb200019ee394","ci",1,27,"0.1",27,1,1,0.666666666666667
"5c994ca30225a000167bd288","ci",14,85,"0.1",25,3,1,0.333333333333333
"5dd33261fce6063503a61fd2","ci",22,30,"0.1",30,1,1,0
"5d1d5027558790001a6d4dea","ci",30,54,"0.1",24,2,1,0.857142857142857
"5c44b3fe1bbffd0001014286","ci",4,1,"0.1",1,1,1,0.857142857142857
"5c994ca30225a000167bd288","ci",22,86,"0.1",26,3,1,0
"5d1e47055538e6001a842e3b","ci",12,7,"0.1",7,1,1,0.909090909090909
"5c66e2f32eacb200019ee394","ci",24,28,"0.1",28,1,1,0.888888888888889
"5c994ca30225a000167bd288","ci",30,87,"0.1",27,3,1,1
"5d1d5027558790001a6d4dea","ci",8,55,"0.1",25,2,1,0.888888888888889
"5dbee94de0a6e839b5a23898","ci",4,3,"0.1",3,1,1,0.5
"5c994ca30225a000167bd288","ci",7,88,"0.1",28,3,1,0.333333333333333
"5c994ca30225a000167bd288","ci",15,89,"0.1",29,3,1,1
"5d1d5027558790001a6d4dea","ci",17,56,"0.1",26,2,1,0.857142857142857
"5c66e2f32eacb200019ee394","ci",16,29,"0.1",29,1,1,0.615384615384615
"5c994ca30225a000167bd288","ci",23,90,"0.1",30,3,1,0.888888888888889
"5c44b3fe1bbffd0001014286","ci",8,2,"0.1",2,1,1,0.888888888888889
"5d1e47055538e6001a842e3b","ci",27,8,"0.1",8,1,1,0.933333333333333
"5d1d5027558790001a6d4dea","ci",26,57,"0.1",27,2,1,0.833333333333333
"5dbee94de0a6e839b5a23898","ci",26,4,"0.1",4,1,1,0.6
"5d1d5027558790001a6d4dea","ci",4,58,"0.1",28,2,1,0.5
"5c66e2f32eacb200019ee394","ci",8,30,"0.1",30,1,1,0.727272727272727
"5d1e47055538e6001a842e3b","ci",11,9,"0.1",9,1,1,0.833333333333333
"5c44b3fe1bbffd0001014286","ci",12,3,"0.1",3,1,1,0.909090909090909
"5d1d5027558790001a6d4dea","ci",13,59,"0.1",29,2,1,0.875
"5dbee94de0a6e839b5a23898","ci",17,5,"0.1",5,1,1,0.8
"5d1d5027558790001a6d4dea","ci",22,60,"0.1",30,2,1,0
"5d1e47055538e6001a842e3b","ci",26,10,"0.1",10,1,1,0.857142857142857
"5c44b3fe1bbffd0001014286","ci",16,4,"0.1",4,1,1,0.666666666666667
"5dbee94de0a6e839b5a23898","ci",8,6,"0.1",6,1,1,0.666666666666667
"5c44b3fe1bbffd0001014286","ci",20,5,"0.1",5,1,1,0.727272727272727
"5dbee94de0a6e839b5a23898","ci",30,7,"0.1",7,1,1,0.857142857142857
"5dbee94de0a6e839b5a23898","ci",21,8,"0.1",8,1,1,1
"5c44b3fe1bbffd0001014286","ci",24,6,"0.1",6,1,1,0.888888888888889
"5dbee94de0a6e839b5a23898","ci",12,9,"0.1",9,1,1,0.75
"5d1e47055538e6001a842e3b","ci",10,11,"0.1",11,1,1,0.833333333333333
"5c44b3fe1bbffd0001014286","ci",28,7,"0.1",7,1,1,0.545454545454545
