"","trial","region_idx","nregions","p_value","alpha","rank","critical_value","bh_profit","is_profit","tp","tn","fp","fn"
"131",7,8,12,0.03331,0.05,3,0.0125,FALSE,FALSE,0,1,0,0
"132",7,5,12,0.05164,0.05,4,0.0166666666666667,FALSE,TRUE,0,0,0,1
"133",7,7,12,0.0803,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"134",7,12,12,0.12922,0.05,6,0.025,FALSE,TRUE,0,0,0,1
"135",7,4,12,0.20541,0.05,7,0.0291666666666667,FALSE,TRUE,0,0,0,1
"136",7,1,12,0.34796,0.05,8,0.0333333333333333,FALSE,TRUE,0,0,0,1
"137",7,2,12,0.42672,0.05,9,0.0375,FALSE,TRUE,0,0,0,1
"138",7,11,12,0.46105,0.05,10,0.0416666666666667,FALSE,TRUE,0,0,0,1
"139",7,9,12,0.72556,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"140",7,10,12,0.84542,0.05,12,0.05,FALSE,TRUE,0,0,0,1
"141",8,6,8,0.01594,0.05,1,0.00625,FALSE,TRUE,0,0,0,1
"142",8,4,8,0.05519,0.05,2,0.0125,FALSE,TRUE,0,0,0,1
"143",8,5,8,0.12993,0.05,3,0.01875,FALSE,TRUE,0,0,0,1
"144",8,3,8,0.46486,0.05,4,0.025,FALSE,FALSE,0,1,0,0
"145",8,8,8,0.48312,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
"146",8,2,8,0.51425,0.05,6,0.0375,FALSE,FALSE,0,1,0,0
"147",8,7,8,0.71073,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"148",8,1,8,0.74086,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"149",8,10,12,0.01024,0.05,1,0.00416666666666667,FALSE,FALSE,0,1,0,0
"150",8,9,12,0.01936,0.05,2,0.00833333333333333,FALSE,FALSE,0,1,0,0
"151",8,7,12,0.01988,0.05,3,0.0125,FALSE,TRUE,0,0,0,1
"152",8,2,12,0.02312,0.05,4,0.0166666666666667,FALSE,TRUE,0,0,0,1
"153",8,6,12,0.02656,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"154",8,12,12,0.04398,0.05,6,0.025,FALSE,FALSE,0,1,0,0
"155",8,4,12,0.09888,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"156",8,11,12,0.11264,0.05,8,0.0333333333333333,FALSE,TRUE,0,0,0,1
"157",8,3,12,0.53677,0.05,9,0.0375,FALSE,TRUE,0,0,0,1
"158",8,1,12,0.72714,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"159",8,8,12,0.82306,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"160",8,5,12,0.96148,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"161",9,5,8,0.00038,0.05,1,0.00625,TRUE,TRUE,1,0,0,0
"162",9,4,8,0.02054,0.05,2,0.0125,FALSE,TRUE,0,0,0,1
"163",9,6,8,0.03994,0.05,3,0.01875,FALSE,TRUE,0,0,0,1
"164",9,8,8,0.04337,0.05,4,0.025,FALSE,TRUE,0,0,0,1
"165",9,7,8,0.11071,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
"166",9,3,8,0.45698,0.05,6,0.0375,FALSE,FALSE,0,1,0,0
"167",9,2,8,0.69128,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"168",9,1,8,0.85574,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"169",9,12,12,1e-05,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"170",9,1,12,5e-04,0.05,2,0.00833333333333333,TRUE,TRUE,1,0,0,0
"171",9,9,12,0.00413,0.05,3,0.0125,TRUE,TRUE,1,0,0,0
"172",9,11,12,0.02342,0.05,4,0.0166666666666667,FALSE,TRUE,0,0,0,1
"173",9,4,12,0.0511,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"174",9,7,12,0.07831,0.05,6,0.025,FALSE,FALSE,0,1,0,0
"175",9,3,12,0.18779,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"176",9,10,12,0.1964,0.05,8,0.0333333333333333,FALSE,TRUE,0,0,0,1
"177",9,8,12,0.20052,0.05,9,0.0375,FALSE,FALSE,0,1,0,0
"178",9,6,12,0.50248,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"179",9,5,12,0.59128,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"180",9,2,12,0.74017,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"181",10,2,8,0.00122,0.05,1,0.00625,TRUE,TRUE,1,0,0,0
"182",10,4,8,0.00713,0.05,2,0.0125,TRUE,TRUE,1,0,0,0
"183",10,5,8,0.02499,0.05,3,0.01875,FALSE,FALSE,0,1,0,0
"184",10,1,8,0.04314,0.05,4,0.025,FALSE,TRUE,0,0,0,1
"185",10,6,8,0.26222,0.05,5,0.03125,FALSE,TRUE,0,0,0,1
"186",10,3,8,0.28563,0.05,6,0.0375,FALSE,FALSE,0,1,0,0
"187",10,7,8,0.33826,0.05,7,0.04375,FALSE,TRUE,0,0,0,1
"188",10,8,8,0.87962,0.05,8,0.05,FALSE,TRUE,0,0,0,1
"189",10,4,12,0.00857,0.05,1,0.00416666666666667,FALSE,TRUE,0,0,0,1
"190",10,3,12,0.01182,0.05,2,0.00833333333333333,FALSE,TRUE,0,0,0,1
"191",10,2,12,0.03728,0.05,3,0.0125,FALSE,TRUE,0,0,0,1
"192",10,12,12,0.06852,0.05,4,0.0166666666666667,FALSE,TRUE,0,0,0,1
"193",10,10,12,0.06864,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"194",10,6,12,0.31494,0.05,6,0.025,FALSE,FALSE,0,1,0,0
"195",10,1,12,0.35894,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"196",10,5,12,0.52678,0.05,8,0.0333333333333333,FALSE,FALSE,0,1,0,0
"197",10,11,12,0.71332,0.05,9,0.0375,FALSE,FALSE,0,1,0,0
"198",10,8,12,0.73279,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"199",10,9,12,0.75336,0.05,11,0.0458333333333333,FALSE,TRUE,0,0,0,1
"200",10,7,12,0.833,0.05,12,0.05,FALSE,TRUE,0,0,0,1
"201",11,7,8,0.00951,0.05,1,0.00625,FALSE,TRUE,0,0,0,1
"202",11,8,8,0.04276,0.05,2,0.0125,FALSE,TRUE,0,0,0,1
"203",11,3,8,0.05639,0.05,3,0.01875,FALSE,FALSE,0,1,0,0
"204",11,2,8,0.65349,0.05,4,0.025,FALSE,FALSE,0,1,0,0
"205",11,1,8,0.67914,0.05,5,0.03125,FALSE,TRUE,0,0,0,1
"206",11,6,8,0.69725,0.05,6,0.0375,FALSE,TRUE,0,0,0,1
"207",11,4,8,0.76788,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"208",11,5,8,0.79029,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"209",11,12,12,0.00142,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"210",11,4,12,0.00274,0.05,2,0.00833333333333333,TRUE,TRUE,1,0,0,0
"211",11,7,12,0.00394,0.05,3,0.0125,TRUE,TRUE,1,0,0,0
"212",11,9,12,0.01174,0.05,4,0.0166666666666667,TRUE,TRUE,1,0,0,0
"213",11,8,12,0.04547,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"214",11,6,12,0.15347,0.05,6,0.025,FALSE,FALSE,0,1,0,0
"215",11,11,12,0.50749,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"216",11,10,12,0.52279,0.05,8,0.0333333333333333,FALSE,FALSE,0,1,0,0
"217",11,5,12,0.56308,0.05,9,0.0375,FALSE,FALSE,0,1,0,0
"218",11,3,12,0.59102,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"219",11,2,12,0.89606,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"220",11,1,12,0.90888,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"221",12,5,8,0.00802,0.05,1,0.00625,FALSE,TRUE,0,0,0,1
"222",12,2,8,0.01248,0.05,2,0.0125,TRUE,TRUE,1,0,0,0
"223",12,8,8,0.02869,0.05,3,0.01875,FALSE,TRUE,0,0,0,1
"224",12,1,8,0.02963,0.05,4,0.025,FALSE,TRUE,0,0,0,1
"225",12,6,8,0.12089,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
"226",12,3,8,0.45223,0.05,6,0.0375,FALSE,FALSE,0,1,0,0
"227",12,4,8,0.7203,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"228",12,7,8,0.86558,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"229",12,1,12,0.00226,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"230",12,12,12,0.00269,0.05,2,0.00833333333333333,TRUE,TRUE,1,0,0,0
"231",12,6,12,0.00904,0.05,3,0.0125,TRUE,FALSE,0,0,1,0
"232",12,8,12,0.0097,0.05,4,0.0166666666666667,TRUE,TRUE,1,0,0,0
"233",12,9,12,0.02259,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"234",12,3,12,0.05541,0.05,6,0.025,FALSE,TRUE,0,0,0,1
"235",12,4,12,0.07463,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"236",12,5,12,0.1085,0.05,8,0.0333333333333333,FALSE,FALSE,0,1,0,0
"237",12,11,12,0.12255,0.05,9,0.0375,FALSE,FALSE,0,1,0,0
"238",12,10,12,0.22507,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"239",12,2,12,0.32068,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"240",12,7,12,0.45365,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"241",13,6,8,0.00955,0.05,1,0.00625,FALSE,TRUE,0,0,0,1
"242",13,5,8,0.02646,0.05,2,0.0125,FALSE,TRUE,0,0,0,1
"243",13,2,8,0.24946,0.05,3,0.01875,FALSE,TRUE,0,0,0,1
"244",13,4,8,0.70495,0.05,4,0.025,FALSE,FALSE,0,1,0,0
"245",13,3,8,0.70558,0.05,5,0.03125,FALSE,FALSE,0,1,0,0
