"","trial","mu","sd","region_idx","estimate","estimate_10pc","estimate_5pc","estimate_1pc"
"220",22,1,5,10,5e-04,TRUE,TRUE,TRUE
"221",23,0,3.33333333333333,1,0.28528,FALSE,FALSE,FALSE
"222",23,0,3.33333333333333,2,0.63431,FALSE,FALSE,FALSE
"223",23,1,3.33333333333333,3,9e-05,TRUE,TRUE,TRUE
"224",23,0,3.33333333333333,4,0.09256,TRUE,FALSE,FALSE
"225",23,1,3.33333333333333,5,1e-05,TRUE,TRUE,TRUE
"226",23,1,3.33333333333333,6,0,TRUE,TRUE,TRUE
"227",23,1,3.33333333333333,7,1e-05,TRUE,TRUE,TRUE
"228",23,0,3.33333333333333,8,0.65937,FALSE,FALSE,FALSE
"229",23,0,3.33333333333333,9,0.4036,FALSE,FALSE,FALSE
"230",23,1,3.33333333333333,10,8e-05,TRUE,TRUE,TRUE
"231",24,0,2,1,0.77452,FALSE,FALSE,FALSE
"232",24,0,2,2,0.78434,FALSE,FALSE,FALSE
"233",24,1,2,3,0,TRUE,TRUE,TRUE
"234",24,0,2,4,0.54792,FALSE,FALSE,FALSE
"235",24,1,2,5,0,TRUE,TRUE,TRUE
"236",24,0,2,6,0.0577,TRUE,FALSE,FALSE
"237",24,0,2,7,0.99647,FALSE,FALSE,FALSE
"238",24,0,2,8,0.82817,FALSE,FALSE,FALSE
"239",24,1,2,9,1e-05,TRUE,TRUE,TRUE
"240",24,1,2,10,0,TRUE,TRUE,TRUE
"241",25,0,5,1,0.85931,FALSE,FALSE,FALSE
"242",25,0,5,2,0.82719,FALSE,FALSE,FALSE
"243",25,1,5,3,0.00039,TRUE,TRUE,TRUE
"244",25,1,5,4,0.06169,TRUE,FALSE,FALSE
"245",25,0,5,5,0.86716,FALSE,FALSE,FALSE
"246",25,1,5,6,0.02857,TRUE,TRUE,FALSE
"247",25,1,5,7,0.07581,TRUE,FALSE,FALSE
"248",25,0,5,8,0.45783,FALSE,FALSE,FALSE
"249",25,0,5,9,0.69863,FALSE,FALSE,FALSE
"250",25,1,5,10,8e-05,TRUE,TRUE,TRUE
"251",26,1,3.33333333333333,1,0,TRUE,TRUE,TRUE
"252",26,0,3.33333333333333,2,0.08216,TRUE,FALSE,FALSE
"253",26,1,3.33333333333333,3,0,TRUE,TRUE,TRUE
"254",26,0,3.33333333333333,4,0.15872,FALSE,FALSE,FALSE
"255",26,1,3.33333333333333,5,0,TRUE,TRUE,TRUE
"256",26,1,3.33333333333333,6,3e-05,TRUE,TRUE,TRUE
"257",26,1,3.33333333333333,7,0,TRUE,TRUE,TRUE
"258",26,1,3.33333333333333,8,1e-05,TRUE,TRUE,TRUE
"259",26,0,3.33333333333333,9,0.13409,FALSE,FALSE,FALSE
"260",26,1,3.33333333333333,10,0.00368,TRUE,TRUE,TRUE
"261",27,0,2,1,0.3792,FALSE,FALSE,FALSE
"262",27,1,2,2,0,TRUE,TRUE,TRUE
"263",27,0,2,3,0.29572,FALSE,FALSE,FALSE
"264",27,1,2,4,0,TRUE,TRUE,TRUE
"265",27,0,2,5,0.98234,FALSE,FALSE,FALSE
"266",27,1,2,6,0,TRUE,TRUE,TRUE
"267",27,1,2,7,0,TRUE,TRUE,TRUE
"268",27,1,2,8,0,TRUE,TRUE,TRUE
"269",27,1,2,9,0,TRUE,TRUE,TRUE
"270",27,1,2,10,0,TRUE,TRUE,TRUE
"271",28,0,5,1,0.3646,FALSE,FALSE,FALSE
"272",28,0,5,2,0.24764,FALSE,FALSE,FALSE
"273",28,0,5,3,0.95542,FALSE,FALSE,FALSE
"274",28,1,5,4,0.01133,TRUE,TRUE,FALSE
"275",28,1,5,5,0.00032,TRUE,TRUE,TRUE
"276",28,0,5,6,0.40744,FALSE,FALSE,FALSE
"277",28,1,5,7,0.00012,TRUE,TRUE,TRUE
"278",28,1,5,8,0.00362,TRUE,TRUE,TRUE
"279",28,1,5,9,0.25073,FALSE,FALSE,FALSE
"280",28,1,5,10,0.00342,TRUE,TRUE,TRUE
"281",29,0,3.33333333333333,1,0.17684,FALSE,FALSE,FALSE
"282",29,0,3.33333333333333,2,0.34329,FALSE,FALSE,FALSE
"283",29,1,3.33333333333333,3,0,TRUE,TRUE,TRUE
"284",29,1,3.33333333333333,4,0.00249,TRUE,TRUE,TRUE
"285",29,1,3.33333333333333,5,0.00058,TRUE,TRUE,TRUE
"286",29,1,3.33333333333333,6,0,TRUE,TRUE,TRUE
"287",29,1,3.33333333333333,7,0.00126,TRUE,TRUE,TRUE
"288",29,1,3.33333333333333,8,0,TRUE,TRUE,TRUE
"289",29,0,3.33333333333333,9,0.6244,FALSE,FALSE,FALSE
"290",29,1,3.33333333333333,10,0,TRUE,TRUE,TRUE
"291",30,1,2,1,0,TRUE,TRUE,TRUE
"292",30,0,2,2,0.43552,FALSE,FALSE,FALSE
"293",30,1,2,3,0,TRUE,TRUE,TRUE
"294",30,1,2,4,0,TRUE,TRUE,TRUE
"295",30,0,2,5,0.55569,FALSE,FALSE,FALSE
"296",30,0,2,6,0.59493,FALSE,FALSE,FALSE
"297",30,0,2,7,0.16115,FALSE,FALSE,FALSE
"298",30,0,2,8,0.91006,FALSE,FALSE,FALSE
"299",30,1,2,9,0,TRUE,TRUE,TRUE
"300",30,0,2,10,0.52637,FALSE,FALSE,FALSE
