"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
25599,"d67bf99a","5ebaaa12d9ef2900098cd942","7,3,6",3,6,0,-3,-360,"raw-data",5,21,6.807,""
25600,"d41d8577","5ebaaa031b9edb000a2aa097","5,12",2,6,0,-4,200,"raw-data",5,20,22.093,""
25601,"c89dca3f","5ebaaa0ae6cdc0000a5bfe80","3,12,4,11,10",5,5,0,-2,-6480,"raw-data",5,3,8.577,""
25602,"6a0786b4","5ebaaa02f290a1000ca8fdea","null",0,2,0,-6,-3560,"raw-data",5,7,12.896,""
25603,"4abdbf77","5ebaa9fa1269c70008eefddd","12,1,11,9,7",3,5,-2,-2,-8280,"raw-data",5,12,11.625,""
25604,"98b77969","5ebaaa0a7e02a00008698faa","7,2,9,6,11,12",4,5,-2,-1,-880,"raw-data",5,8,49.858,""
25605,"aa73781f","5ebaaa198f7992000b602653","2",0,6,-1,-5,-6400,"raw-data",5,1,10.335,""
25606,"270da909","5ebaaa0a3a9f9800095e6b4d","null",0,7,0,-1,-360,"raw-data",5,32,30.707,""
25607,"fb8b755d","5ebaaa0226dc0a000acaf4a9","1,8,5,6",2,3,-2,-1,-6160,"raw-data",5,3,8.695,""
25608,"6578c321","5ebaaa134164a00009ff6901","5",1,4,0,-3,-120,"raw-data",5,12,15.259,""
25609,"ede99de8","5ebaaa0d111567000854d25a","4,6",2,4,0,-2,-2440,"raw-data",5,28,11.799,""
25610,"d67bf99a","5ebaaa12d9ef2900098cd942","3",1,5,0,-6,-360,"raw-data",5,10,5.009,""
25611,"2d334478","5ebaa9fe5f72f60009f916f8","8,6,4",3,5,0,-4,-3280,"raw-data",5,35,16.287,""
25612,"f2868c09","5ebaaa0e8314b40008a4e035","7,3,8",2,3,-1,-2,-3080,"raw-data",5,11,8.585,""
25613,"5f612236","5ebaaa02fa827c000932a3ef","8,10,7,11,3,2,12,1,9,5,6,4",1,0,-11,0,-9040,"raw-data",5,32,41.74,""
25614,"f449fee6","5ebaaa141725910008e0ba7b","1,8,3,2,6,4",4,2,-2,0,-8760,"raw-data",5,21,9.165,""
25615,"dae5e1f0","5ebaaa3e09b13e000a8108e2","2,12",2,7,0,-3,-1360,"raw-data",5,18,9.268,""
25616,"62bca0ea","5ebaaa0e41cc8b000827c4f1","5",1,6,0,-5,-1760,"raw-data",5,19,10.041,""
25617,"270da909","5ebaaa0a3a9f9800095e6b4d","8",1,4,0,-3,-320,"raw-data",5,21,5.102,""
25618,"fb8b755d","5ebaaa0226dc0a000acaf4a9","2,4",2,2,0,-4,-6160,"raw-data",5,10,4.814,""
25619,"b098f8ca","5ebaaa0b34c5ff0008e686b5","1,5,2",3,4,0,-1,720,"raw-data",5,12,10.996,""
25620,"d41d8577","5ebaaa031b9edb000a2aa097","null",0,6,0,-6,200,"raw-data",5,25,8.781,""
25621,"66673fd1","5ebaaa19c7f8c2000b80075d","8,7,10,12,6,4,11,5",8,4,0,0,-2440,"raw-data",5,27,14.587,""
25622,"17bc85fd","5ebaaa1474f38100095380ac","1,4",2,2,0,-4,-6720,"raw-data",5,7,29.48,""
