"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
13155,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","2,8,3",3,2,0,-3,-2320,"ci","5",22,4.664,
13156,"59a959925ea0f30001281475","5e9daf0a8662720b6dcac98a","4,11,8,7,5",1,7,-4,0,-10240,"ci","5",32,13.285,
13157,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","4,7",2,4,0,-2,-24920,"ci","5",18,2.681,
13158,"5e7dd515aa9da60009e412f2","5e9db0a139a7630c58872778","4",1,2,0,-5,3200,"ci","5",7,11.511,
13159,"5c59b060c16a6a0001c09337","5e9daee839a7630bed3fca45","5,10,3,6,12,11",6,5,0,-1,3200,"ci","5",31,25.14,
13160,"5bd170999afb5b00015ba3b1","5e9daec7c8df730bd44671b9","1,5,2",3,4,0,-1,2840,"ci","5",12,8.824,
13161,"5e455ad0703c9403276f7872","5e9daedec9faf40bf7e8f049","6,1,8,3,4,2",4,2,-2,0,-16160,"ci","5",21,8.103,
13162,"5ac5732d1667e40001d867f9","5e9db2ae2161b50c3f277221","null",0,5,0,-7,-400,"ci","5",3,20.134,
13163,"5d9a40d81abbe700154a04a0","5e9daee71d362a0b6e169386","7,2,9",2,6,-1,-3,1040,"ci","5",8,13.081,
13164,"5e6d59aca2a42832fc539205","5e9daedbd8d8010c94ea2e5e","8,6",1,4,-1,-2,-80,"ci","5",34,10.483,
13165,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","3,8",2,5,0,-1,680,"ci","5",16,22.377,
13166,"5d1aab1fb8fd6c001834e939","5e9daebf32b4a20bda7aaf89","5",0,5,-1,-6,-7600,"ci","5",25,8.397,
13167,"5e073887dc85350bf4d98bb9","5e9daeb53cfc680bcf5bd92b","3",1,5,0,-2,920,"ci","5",16,6.673,
13168,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","3,5",2,3,0,-3,-2280,"ci","5",23,5.807,
13169,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","2",0,7,-1,0,-25160,"ci","5",5,6.815,
13170,"58ab12f1e6afe00001d36237","5e9daece73ed8c0c30f7c2c2","5,1",2,4,0,-2,-600,"ci","5",33,8.985,
13171,"5cebae5b2e4f1700012a915a","5e9daeee3fcda10b668d8552","1,2",0,6,-2,0,-4800,"ci","5",5,7.51,
13172,"5bd170999afb5b00015ba3b1","5e9daec7c8df730bd44671b9","null",0,3,0,-5,2800,"ci","5",29,6.777,
13173,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","7,3,8",2,3,-1,-2,-2160,"ci","5",11,11.607,
13174,"5e455ad0703c9403276f7872","5e9daedec9faf40bf7e8f049","2,5",1,6,-1,0,-16400,"ci","5",32,7.493,
13175,"5e7bcff00fb32c0f51fea882","5e9daed9e3075e0c31f314ef","2,1",0,6,-2,0,40,"ci","5",5,5.776,
13176,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","4,2",2,4,0,-2,-2200,"ci","5",24,4.113,
13177,"5e6d59aca2a42832fc539205","5e9daedbd8d8010c94ea2e5e","3,2,8",3,4,0,-1,40,"ci","5",21,8.455,
13178,"5e073887dc85350bf4d98bb9","5e9daeb53cfc680bcf5bd92b","3",1,3,0,-4,920,"ci","5",17,7.915,
13179,"5bd170999afb5b00015ba3b1","5e9daec7c8df730bd44671b9","4,2",2,2,0,-4,2800,"ci","5",10,7.152,
13180,"59a959925ea0f30001281475","5e9daf0a8662720b6dcac98a","3,4,6,1,12,2,7,8",6,4,-2,0,-10800,"ci","5",21,17.718,
13181,"5d1aab1fb8fd6c001834e939","5e9daebf32b4a20bda7aaf89","12,9,1",3,7,0,-2,-7440,"ci","5",12,12.65,
13182,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","6,2",1,4,-1,-2,-2520,"ci","5",25,4.361,
13183,"5d9a40d81abbe700154a04a0","5e9daee71d362a0b6e169386","11",1,6,0,-5,1080,"ci","5",25,12.498,
13184,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","1,2,4",3,2,0,-3,-2120,"ci","5",10,9.136,
